creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Breen, Leo van																														Leo van Breen. Wij en het Vaderland. Beschouwingen over een suggestie	Dutch		479	Leo van Breen Wij en het Vaderland Beschouwingen over een suggestie Breen Leo van	Pays-Bas.02	480.pdf	2021-07-05	1931 (?)		P16-41-017.pdf	2021-07-05
Pront, John		Voogd, Drs. J. de		Linden, L.v.d.		Meursing, E.E. 		Groeneveld, Dr. A.		Börger, Mr.Drs. A.		Brandt Corstius, Dr. J.C.		Felkers, Ir. P. 		Tillema-Heynen, L.		Mispelblom Beyer, Dr. B.												"1. Rapporten, circulaires, propagandamateriaal en correspondentie inzake de """"Eerste Ronde Tafel Conferentie, belegd voor de anti-oorlogsbewe- ging in Nederland"""", door de Jongeren Vredes Actie, Rotterdam, op 19 en 20 oktober 1935 te Den Haag."""""	Dutch		487	Rapporten circulaires propagandamateriaal en correspondentie inzake de Eerste Ronde Tafel Conferentie belegd voor de anti-oorlogsbewe- ging in Nederland door de Jongeren Vredes Actie Rotterdam op 19 en 20 oktober 1935 te Den Haag Pront John Voogd Drs J de Linden L v d Meursing E E Groeneveld Dr A Börger Mr Drs A Brandt Corstius Dr J C Felkers Ir P Tillema-Heynen L Mispelblom Beyer Dr B	Ronde Tafel Conferenties.1	488.pdf	2021-07-05	1935		R19-1-45-001.pdf	2021-07-05
Société de la Paix de Moscou (?)																														"4. Boekje met Cyrillische lettertekens en een regel Latijns schrift: (""""Société de la Paix de Moscou"""".)"""""	Russian; French		495	Boekje met Cyrillische lettertekens en een regel Latijns schrift ( Société de la Paix de Moscou ) Société de la Paix de Moscou ( )	Russie.2	496.pdf	2021-07-05	Moskou, 1912		R22-46-003.pdf	2021-07-05
Goes, Herman van der																														"14. Brochure: """"Onze Vloot: het scherm gaat op!"""""	Dutch		503	Brochure Onze Vloot het scherm gaat op Goes Herman van der	Pays-Bas.04	504.pdf	2021-07-05			P16-41-028 APARTE MAP!.pdf	2021-07-05
Aktieselskabet S. Mittest		Bogtrykkeri, Kristiania.																												"2. Tijdschrift: """"Fred. Tidsskrivt For Folkerett og Voldgivt"""". Nrs. 11, 12 - 1902. Nrs. 1,3,5,8,9,10,11,12 - 1904"""""	Norwegian		511	Tijdschrift Fred Tidsskrivt For Folkerett og Voldgivt Nrs 11 12 - 190 Nrs 1 3 5 8 9 10 11 12 - 1904 Aktieselskabet S Mittest Bogtrykkeri Kristiania	Scandinavie.6	512.pdf	2021-07-05	1902, 1904		S08-2-47-002.pdf	2021-07-05
Intern. Zivildienst Vereinigung, Bern.																														"7. Krant: """"Le Service Civil"""". Nr.2 - 30 juni 1935, Nr. 9 - 24 juli 1937."""""	German		519	Krant Le Service Civil Nr 2 - 30 juni 1935 Nr 9 - 24 juli 193 Intern Zivildienst Vereinigung Bern	Service Civil International.4	520.pdf	2021-07-05	30 juni 1935, 24 juli 1937.		S18-47-002.pdf	2021-07-05
Geuns-Godfried, H. van	http://viaf.org/viaf/33155190021782132743																													"10. Pamflet: """"De Wet betreffende bescherming tegen Luchtaanvallen""""."	Dutch		527	Pamflet De Wet betreffende bescherming tegen Luchtaanvallen Geuns-Godfried H van	Protection des Populations Civiles.7	528.pdf	2021-07-05	Sappemeer, December 1935		P54-2-43-007.pdf	2021-07-05
Buchman, Dr. Frank																														"1. Radiorede: """"Nieuwe Menschen, Nieuwe Volken; Een Nieuwe Wereld onder Gods leiding""""."	Dutch		535	Radiorede Nieuwe Menschen Nieuwe Volken Een Nieuwe Wereld onder Gods leiding Buchman Dr Frank	Réarmement Moral.2	536.pdf	2021-07-05	27-Nov-38		R04-2-44-004.pdf	2021-07-05
Sijn, J.A. van	http://viaf.org/viaf/288567531																													De weg naar moreele ontwapening. J.A. van Sijn. Rotterdam: Vredeskring van Nederland, 1930	Dutch		543	De weg naar moreele ontwapening J A van Sijn Rotterdam Vredeskring van Nederland 1930 Sijn J A van	Refus du Service Militaire.07	544.pdf	2021-07-05	1930		R06-1-44-010.pdf	2021-07-05
Steinitz, Martha (voorwoord)																														"60. Boekje: """"Moderne Märtyrer. Dokumente gesammelt von der Internationale der Kriegs- dienstgegner"""".Ook in Map R06-3-042-0001 (niet gescand)"	German		551	60 Boekje Moderne Märtyrer Dokumente gesammelt von der Internationale der Kriegs- dienstgegner Ook in Map R06-3-042-0001 (niet gescand) Steinitz Martha (voorwoord)	Refus du Service Militaire.13	552.pdf	2021-07-05	1927		R06-1-44-018.pdf	2021-07-05
Wisse, Ds. G.																														"3. Boekje: """"Dienstweigering""""."	Dutch		559	Boekje Dienstweigering Wisse Ds G	Refus du Service Militaire.01	560.pdf	2021-07-05	(1914-1918 ?)		R06-1-44-026.pdf	2021-07-05
Jong, Ds. A.R. de																														"21. Brochure: """"Waarom wij als Christen-Socialist het Manifest der Dienstweigeraars onderteekenden""""."	Dutch		567	Brochure Waarom wij als Christen-Socialist het Manifest der Dienstweigeraars onderteekenden Jong Ds A R de	Refus du Service Militaire.04	568.pdf	2021-07-05	vóór 1940		R06-1-44-034.pdf	2021-07-05
Vernet, Madeleine	http://viaf.org/viaf/71403468																													"63. Boekje: """"De l'Objection de Conscience au Désarmement. Les Thèses de la Volonté de Paix""""."	French		575	Boekje De l Objection de Conscience au Désarmement Les Thèses de la Volonté de Paix Vernet Madeleine	Refus du Service Militaire.14	576.pdf	2021-07-05	30-Apr		R06-1-44-042.pdf	2021-07-05
Bähler, Dr. Louis A.																														Pamphlet: Wie zijn de opruiers?	Dutch		583	Pamphlet Wie zijn de opruiers Bähler Dr Louis A	Refus du Service Militaire.03	584.pdf	2021-07-05			R06-1-44-050.pdf	2021-07-05
Gunning, Dr. J.H.																														"44. Pamflet: """"Anti-Oorlog-Beweging."""" Een boutade van Dr. J.H. Gunning J.Hzn. Overgenomen uit de""""Nieuwe Koers"""", October 1929."""""	Dutch		591	Pamflet Anti-Oorlog-Beweging Een boutade van Dr J H Gunning J Hzn Overgenomen uit de Nieuwe Koers October 192 Gunning Dr J H	Refus du Service Militaire.09	592.pdf	2021-07-05	Oktober 1929		R06-1-44-058.pdf	2021-07-05
Ds. M.C. van Wijhe		Piet Maager		Anton Hoytink		Suls, Armand		A.R. de Jong		Ds. N.J.C. Schermerhorn		H.J. Mispelblom Beijer		Dr. Helene Stöcker																Verslag van het internationale Congres voor Dienstweigering, gehouden te Amsterdam, 25 en 26 mei 1927	Dutch		599	Verslag van het internationale Congres voor Dienstweigering gehouden te Amsterdam 25 en 26 mei 1927 Ds M C van Wijhe Piet Maager Anton Hoytink Suls Armand A R de Jong Ds N J C Schermerhorn H J Mispelblom Beijer Dr Helene Stöcker	Refus du Service Militaire.18a	600.pdf	2021-07-05	25 en 26 mei 1927		R06-2-44-004.pdf	2021-07-05
Tieman, B.J.M., Den Haag																														40. Magazine: De oorlog in December 1917. (Illustrated, geïllustreerde kroniek)	Dutch		607	40 Magazine De oorlog in December 191 (Illustrated geïllustreerde kroniek) Tieman B J M Den Haag	Pays-Bas.10	608.pdf	2021-07-05	1917		P16-41-038.pdf	2021-07-05
Floyd, William																														"1. Pamflet: """"Peace Patriots. Love of Country: Opposition to War""""."	English		615	Pamflet Peace Patriots Love of Country Opposition to War Floyd William	Peace Patriots.	616.pdf	2021-07-05			P24-41-001.pdf	2021-07-05
Morris, Stuart D.																														"10. An open letter to the Archbishop of Canterbury""""."	English		623	An open letter to the Archbishop of Canterbury Morris Stuart D	Peace Pledge Union.2	624.pdf	2021-07-05			P26-42-008.pdf	2021-07-05
Wallis, John E.W. (voorwoord)																														"1. """"Official programme for Peace Week May 30th - June 5th 1937"""". Uitgave: """"Preston Peace Council."""""	English		631	Official programme for Peace Week May 30th - June 5th 1937 Uitgave Preston Peace Council Wallis John E W (voorwoord)	Peace Week.	632.pdf	2021-07-05	1937		P28-42-002.pdf	2021-07-05
Kuin, P.																												Music;		"3. ""Vredeslied""."	Dutch		639	Vredeslied Kuin P	Poésie et Musique.1	640.pdf	2021-08-11			P38-42-002.pdf	2021-07-05
Des Volontaires de la Paix - Neue Deutsche Jugend																														Chants - Lieder - Croisade de la Jeunesse pour la Paix - Jugend Friedens Kreuzzug.	French; German		647	Chants - Lieder - Croisade de la Jeunesse pour la Paix - Jugend Friedens Kreuzzug Des Volontaires de la Paix - Neue Deutsche Jugend	Poésie et Musique.2	648.pdf	2021-07-05			P38-42-011.pdf	2021-07-05
																														"4. Brochure: """"Organisatie van de Gemeenschappelijke Militaire Bondsactie""""."	Dutch		655	Brochure Organisatie van de Gemeenschappelijke Militaire Bondsactie	Police Internationale.1	656.pdf	2021-07-05	Februari, 1919		P40-42-004.pdf	2021-07-05
Lie, Dr. Mikael H.		Koht, Prof. Halvdan																												"2. Boekje: """"Parliamentary Control of Foreign Politics""""."	English		663	Boekje Parliamentary Control of Foreign Politics Lie Dr Mikael H Koht Prof Halvdan	Politique Etrangère.1	664.pdf	2021-07-05	Den Haag, 1916		P42-43-006.pdf	2021-07-05
Pootjes, Prof. Joh. Will.																														"6. Brochure: """"Aphorismen""""."	Dutch		671	Brochure Aphorismen Pootjes Prof Joh Will	Pootjes.	672.pdf	2021-07-05			P45-43-006.pdf	2021-07-05
																														5. Stencils			679	Stencils	Presse.	680.pdf	2021-07-05			P48-43-003.pdf	2021-07-05
" Vlaamsche Jongeren Vredes-Actie"""", Antwerpen."""""																														"2. Pamfletten en folders van de organisatie""""Vlaamsche Jongeren Vredes-Actie"""", Antwerpen."""""	Dutch		687	Pamfletten en folders van de organisatie Vlaamsche Jongeren Vredes-Actie Antwerpen Vlaamsche Jongeren Vredes-Actie Antwerpen	Propagande.1	688.pdf	2021-07-05			P52-43-005.pdf	2021-07-05
Lehmann-Rüssbuldt, O		Hugenholtz, Ds.J.B.Th.																												10. Brief van O. Lehmann-Rüssbuldt, Londen, aan Ds. J.B.Th. Hugenholtz, d.d. 14 maart 1931.	German		695	Brief van O Lehmann-Rüssbuldt Londen aan Ds J B Th Hugenholtz d d 14 maart 193 Lehmann-Rüssbuldt O Hugenholtz Ds J B Th	Protection des Populations Civiles.2	696.pdf	2021-07-05	Londen, 14 maart 1931		P54-1-43-008.pdf	2021-07-05
Borah, William Edgar	http://viaf.org/viaf/10081991																													"21. Pamflet: """"The Fallacy of Force. From an article by Senator William E. Borah in The Century Magazine""""."	English		703	Pamflet The Fallacy of Force From an article by Senator William E Borah in The Century Magazine Borah William Edgar	Outlawry of War.06	704.pdf	2021-07-05			O06-38-024.pdf	2021-07-05
Elink Schuurman, Mr. W.H.A.		Borah, William E.																												1. Vertaling van een motie aan de Senaat van de Verenigde Staten door William E. Borah, d.d. 9 december 1926, benevens een syllabus van de inleiding, door Mr. W.H.A. Elink Schuurman.	Dutch		711	Vertaling van een motie aan de Senaat van de Verenigde Staten door William E Borah d d 9 december 1926 benevens een syllabus van de inleiding door Mr W H A Elink Schuurman Elink Schuurman Mr W H A Borah William E	Outlawry of War.01	712.pdf	2021-07-05	1926(?)		O06-38-030.pdf	2021-07-05
Bakker, S.K.																														"3. Brochure: """"Oorlog en Vrede""""."	Dutch		719	Brochure Oorlog en Vrede Bakker S K	Pacifisme Chrétien.01	720.pdf	2021-07-05	17-Nov-12		P04-1-39-006.pdf	2021-07-05
Anema, Prof. Mr. A.																														"10. Brochure: """"Volkenbond en Christelijk Beginsel""""."	Dutch		727	Brochure Volkenbond en Christelijk Beginsel Anema Prof Mr A	Pacifisme Chrétien.02	728.pdf	2021-07-05			P04-1-39-014.pdf	2021-07-05
Heering, Prof. Dr. G.J.		Hugenholtz, Ds.J.B.Th.																												"39. Brochure: """"Krieg und Frieden in der Auffassung der niederländischen Christen""""."	German		735	Brochure Krieg und Frieden in der Auffassung der niederländischen Christen Heering Prof Dr G J Hugenholtz Ds J B Th	Pacifisme Chrétien.09	736.pdf	2021-07-05	1934		P04-1-39-022.pdf	2021-07-05
Horsch, John	http://viaf.org/viaf/28646554																													"16. Brochure: """"War And The Christian Conscience""""."	English		743	Brochure War And The Christian Conscience Horsch John	Pacifisme Chrétien.05	744.pdf	2021-07-05			P04-1-39-031.pdf	2021-07-05
Reyss, Paul L.		Freymark, Dr.		Bradford, S.		Forell, Birger	http://viaf.org/viaf/10640283	Callenbach, Dr. J.R.		Irwin Brown, J.																				"34. Brochure: """"Peace and Good Will Among the Nations through the co-operation of the Churches""""."	English		751	Brochure Peace and Good Will Among the Nations through the co-operation of the Churches Reyss Paul L Freymark Dr Bradford S Forell Birger Callenbach Dr J R Irwin Brown J	Pacifisme Chrétien.08	752.pdf	2021-07-05	1925		P04-1-39-039.pdf	2021-07-05
Schermerhorn, N.J.C.																														"15. Brochure: """"Het Heilige Evangelie naar de beschrijving van Johannes Veritas""""."	Dutch		759	Brochure Het Heilige Evangelie naar de beschrijving van Johannes Veritas Schermerhorn N J C	Pacifisme Chrétien.13	760.pdf	2021-07-05	Nieuwe Niedorp, December 1914		P04-2-39-003.pdf	2021-07-05
Bruggen, H.L. van	http://viaf.org/viaf/282044495																													"10. Boekje: """"Van het zwaard dat de overheid draagt""""."	Dutch		767	Boekje Van het zwaard dat de overheid draagt Bruggen H L van	Pacifisme Chrétien.12	768.pdf	2021-07-05	De Bilt, 1 maart 1931		P04-2-39-011.pdf	2021-07-05
Voet, M. van der																														"2. Brochure: """"Christus' Antwoord op het Oorlogsgeweld""""."	Dutch		775	Brochure Christus Antwoord op het Oorlogsgeweld Voet M van der	Pacifisme Chrétien.11	776.pdf	2021-07-05			P04-2-39-019.pdf	2021-07-05
Hugenholtz, Ds. J.B.Th.																														"21. Brochure: """"Een Tijdrede, gehouden op Zondag 18 Augustus 1918 voor de Nederl. Herv. Ge- meente van Purmerend""""."	Dutch		783	Brochure Een Tijdrede gehouden op Zondag 18 Augustus 1918 voor de Nederl Herv Ge- meente van Purmerend Hugenholtz Ds J B Th	Pacifisme Chrétien.14	784.pdf	2021-07-05	18 augustus 1918		P04-2-39-027.pdf	2021-07-05
Bleier, Pfarrer A.																														"35. Brochure: """"Christentum, Völkerversöhnung, Weltfriede""""."	German		791	Brochure Christentum Völkerversöhnung Weltfriede Bleier Pfarrer A	Pacifisme Chrétien.17	792.pdf	2021-07-05	31 juli 1922 Berlijn, 1923 1935 1921-1922		P04-2-39-035.pdf	2021-07-05
Einstein, Albert	http://viaf.org/viaf/75121530	Freud, Sigmund	http://viaf.org/viaf/34456780																									Einstein, Albert, 1879-1955; Peace movement; Freud, Sigmund (Sigmund Schlomo), 1856-1939		Why War? A correspondence between Albert Einstein and Sigmund Freud. London: Peace Plegde Union, 1933. Translated by Stuart Gilbert.	English	Paris : International Institute of Intellectual Co-operation, League of nations, 1933.	799	Why War A correspondence between Albert Einstein and Sigmund Freud London Peace Plegde Union 193 Translated by Stuart Gilbert Einstein Albert Freud Sigmund Gilbert Stuart (vertaling)	Pacifisme; problème de la Paix.2	800.pdf	2021-07-12	1933	Gilbert, Stuart (vertaling)	P06-1-40-004.pdf	2021-07-05
Ayles, Walter H																														"2. Brochure: """"Militarism Unmasked""""."	English		807	Brochure Militarism Unmasked Ayles Walter H	No More War Movement.1	808.pdf	2021-07-05	1927		N30-37-005.pdf	2021-07-05
Elink Schuurman, Mr. W.H.A.																														Het Kellogg-Verdrag van 27 augustus 1928 met een schets van de voorgeschiedenis	Dutch		815	Het Kellogg-Verdrag van 27 augustus 1928 met een schets van de voorgeschiedenis Elink Schuurman Mr W H A	Nooit Meer Oorlog Federatie.01	816.pdf	2021-07-05	1928		N34-1-37-003.pdf	2021-07-05
Hugenholtz, Ds.J.B.Th. (Voorzitter)																														Statuten en Huishoudelijk Reglement van de Nooit-Meer-Oorlog-Federatie	Dutch		823	Statuten en Huishoudelijk Reglement van de Nooit-Meer-Oorlog-Federatie Hugenholtz Ds J B Th (Voorzitter)	Nooit Meer Oorlog Federatie.02	824.pdf	2021-07-05	7 mei 1927		N34-1-37-011.pdf	2021-07-05
Ekering, J.F.Jr.																														"4. Brochure: """"De Jeugd en de Vredesbeweging""""."	Dutch		831	Brochure De Jeugd en de Vredesbeweging Ekering J F Jr	Nooit Meer Oorlog Federatie.04	832.pdf	2021-07-05	1919		N34-2-37-002.pdf	2021-07-05
Westerbaen-Schmidt, E. Leeuwen-Drost, B. van Veur, Mr. M.W.G. van der Borema, H. Jong, J.N. de Nabrink, Gé Kuiper, Frits Cassalette, E. Riel, Prof. Dr. G.C. van																														16. Aankondiging van spreekbeurten van Prof. Dr. G.C. van Riel te Maastricht, Heerlen en Venlo op resp. 26, 27 en 28 maart 1928. (2x)	Dutch		839	Aankondiging van spreekbeurten van Prof Dr G C van Riel te Maastricht Heerlen en Venlo op resp 26 27 en 28 maart 192 (2x) Westerbaen-Schmidt E Leeuwen-Drost B van Veur Mr M W G van der Borema H Jong J N de Nabrink Gé Kuiper Frits Cassalette E Riel Prof Dr G C van	Nooit Meer Oorlog Federatie.07	840.pdf	2021-07-05	1928		N34-2-37-010.pdf	2021-07-05
Ossietzky Comité																														Selection of propaganda materials, letters and manuscripts of the Ossietzky Comité, dated 1934 - 1935	Dutch		847	Selection of propaganda materials letters and manuscripts of the Ossietzky Comité dated 1934 - 1935 Ossietzky Comité	Ossietzky-Comité.2	848.pdf	2021-07-05			O04-38-006.pdf	2021-07-05
																														"11. Krant: """"Journal de Genève"""". 28 juni 1928. Artikel: """"Nos raisons en faveur du Pacte Kellogg""""."	French		855	Krant Journal de Genève 28 juni 192 Artikel Nos raisons en faveur du Pacte Kellogg	Outlawry of War.12	856.pdf	2021-07-05	28 juni 1928		O06-3-38-005.pdf	2021-07-05
Walsh, Dr. Walter																														"6. Brochure: """"The Outlawry of War, delivered by Dr. Walter Walsh on Sunday morning, 24th April 1927""""."	English		863	Brochure The Outlawry of War delivered by Dr Walter Walsh on Sunday morning 24th April 1927 Walsh Dr Walter	Outlawry of War.02	864.pdf	2021-07-05	24-Apr-27		O06-38-001.pdf	2021-07-05
Levinson, Salmon O.		Reese, Curtis W.	http://viaf.org/viaf/53712247																											"13. Brochure: """"The Case in a Nutshell. An interview with S. O. Levinson on the Outlawry of War""""."	English		871	Brochure The Case in a Nutshell An interview with S O Levinson on the Outlawry of War Levinson Salmon O Reese Curtis W	Outlawry of War.04	872.pdf	2021-07-05	14 februari 1927		O06-38-009.pdf	2021-07-05
Froger-Doudement, R.	http://viaf.org/viaf/4841184																													"30. Brochure: """"Qu'est-ce que la Guerre hors la Loi? Toute la question dans toute son importance""""."	French		879	30 Brochure Qu est-ce que la Guerre hors la Loi Toute la question dans toute son importance Froger-Doudement R	Outlawry of War.08	880.pdf	2021-07-05	1928(?)		O06-38-017.pdf	2021-07-05
Brewer Boeckel, Florence																														"1. Brochure: """"Beyond War""""."	English		887	Brochure Beyond War Brewer Boeckel Florence	National Council for Prevention of War.1	888.pdf	2021-07-06	Februari 1942		N06-35-022.pdf	2021-07-06
Bureau der Stichting Nationale Vredes Actie, Ammerstol.																														"2. Brochure: """"De Bekende Soldaat"""""	Dutch		895	Brochure De Bekende Soldaat Bureau der Stichting Nationale Vredes Actie Ammerstol	Nationale Vredes Actie.1	896.pdf	2021-07-06			N12-35-005.pdf	2021-07-06
Jong, Ed. K. de (Voorzitter)																														"1. Pamflet: """"Aan de jongere Nederlanders""""."	Dutch		903	Pamflet Aan de jongere Nederlanders Jong Ed K de (Voorzitter)	Nederlandsche Bond van Jongere Vredesvrienden.	904.pdf	2021-07-06			N18-35-001.pdf	2021-07-06
N.A.O.R. (Niederländische Organisation für einen dauernden Frieden), Den Haag																														" 3. Brochure: """"Der Beruf der Neutralen""""."	German		911	Brochure Der Beruf der Neutralen N A O R (Niederländische Organisation für einen dauernden Frieden) Den Haag	Neutres, Neutralité.1	912.pdf	2021-07-06	Augustus 1915		N22-36-003.pdf	2021-07-06
																														11. Krantenknipsels.	Dutch		919	Krantenknipsels	Neutres, Neutralité.3	920.pdf	2021-07-06	1939		N22-36-009.pdf	2021-07-06
Davies, Lord																														"5. Brochure: """"Force and Youth""""."	English		927	Brochure Force and Youth Davies Lord	New Commonwealth.01	928.pdf	2021-07-06	Maart 1934		N24-36-016.pdf	2021-07-06
Tagore, Rabindranath	http://viaf.org/viaf/24608356	Einstein, Albert	http://viaf.org/viaf/75121530	Keller, Helen	http://viaf.org/viaf/36920292																									"6. Brochure: """"Torchbearers"""" Uitgave: The New History Society, New York"""""	English		935	Brochure Torchbearers Uitgave The New History Society New York Tagore Rabindranath Einstein Albert Keller Helen	New History Society.2	936.pdf	2021-07-06	New York, 1931		N26-36-001.pdf	2021-07-06
Barnes, G.N. (President)		Jouvenel, Henri de (Vice-President)		Jäckh, Prof. Ernst (Vice-President)		Crosby, Oscar T (Vice-President)		Davies (Hon. Treasurer)																						" 10. Brochure: """"The Aims and Objects of The New Commonwealth"""". (4x)"""""	English		943	Brochure The Aims and Objects of The New Commonwealth (4x) Barnes G N (President) Jouvenel Henri de (Vice-President) Jäckh Prof Ernst (Vice-President) Crosby Oscar T (Vice-President) Davies (Hon Treasurer)	New Commonwealth.02	944.pdf	2021-07-06	1934		N24-36-003.pdf	2021-07-06
Donk, P																														"33. Getypte tekst: """"Nota betreffende het onderzoek naar een internationale strijdmacht (I.S.)""""."	Dutch		951	Getypte tekst Nota betreffende het onderzoek naar een internationale strijdmacht (I S ) Donk P	New Commonwealth.08	952.pdf	2021-07-06	20 oktober 1935(?)		N24-36-028.pdf	2021-07-06
New Commonwealth Institute, London																														18. Brochure: The New Commonwealth First International Conference, Pontigny Abbey, Yonne, France, August 13th-23rd, 1937.	English		959	Brochure The New Commonwealth First International Conference Pontigny Abbey Yonne France August 13th-23rd 193 New Commonwealth Institute London	New Commonwealth.04	960.pdf	2021-07-06	1937		N24-36-036.pdf	2021-07-06
The New History Foundation, New York, U.S.A.																														"1. Maandblad: """"The New Historian"""". Volume 1, Nr. 10, July 1932."""""	English		967	Maandblad The New Historian Volume 1 Nr 10 July 193 The New History Foundation New York U S A	New History Society.1	968.pdf	2021-07-06	Juli 1932		N26-36-005.pdf	2021-07-06
Sohrab, Mirza Ahmad	http://viaf.org/viaf/22919423																													"9. Circulaire inzake de """"First International Convention of the Junior Caravan, October 22,23,24, 1938""""."	English		975	Circulaire inzake de First International Convention of the Junior Caravan October 22 23 24 1938 Sohrab Mirza Ahmad	New History Society.2	976.pdf	2021-07-06	Apr-38		N26-36-011.pdf	2021-07-06
Ligt, Bart de	http://viaf.org/viaf/74651548																													"21. """"Strijdplan tegen Oorlog en Oorlogsvoorbereiding"""". Overdruk uit """"Mobilisatie Tegen den Oorlog!"""""	Dutch		983	Strijdplan tegen Oorlog en Oorlogsvoorbereiding Overdruk uit Mobilisatie Tegen den Oorlog Ligt Bart de	Ligt, Bart de.5	984.pdf	2021-07-06	1933		L12-32-029.pdf	2021-07-06
Jong, A.R. de																														"19. Pamflet: """"Bart de Ligt, Peacemaker""""."	English		991	Pamflet Bart de Ligt Peacemaker Jong A R de	Ligt, Bart de.4	992.pdf	2021-07-06	1938 (?)		L12-32-031.pdf	2021-07-06
Ruyssen, Th.	http://viaf.org/viaf/12380012																													"6. Pamflet: """"Pour et Contre La Société des Nations""""."	French		999	Pamflet Pour et Contre La Société des Nations Ruyssen Th	Ligue des Droits de l'Homme.1	1000.pdf	2021-07-06			L14-33-007.pdf	2021-07-06
La Commission des Cahiers de la Paix.																														"1. Brochure: """"Pour un Nouveau Régime International""""."	French		1007	Brochure Pour un Nouveau Régime International La Commission des Cahiers de la Paix	Ligue Internationale des Femmes pour la Paix et la Liberté.	1008.pdf	2021-07-06	Juni 1924		L18-33-002.pdf	2021-07-06
																														6. Propaganda- en informatiemateriaal van de Commissie van Moeders en Opvoedsters.	Dutch		1015	Propaganda- en informatiemateriaal van de Commissie van Moeders en Opvoedsters	Ligue Internationale des Mères et des Educatrices.2	1016.pdf	2021-07-06	1930-1938		L22-33-006.pdf	2021-07-06
Roorda, Dr. J (voorwoord)																														"16. Boekje: """"Medical Opinions on War""""."	English; German; French		1023	Boekje Medical Opinions on War Roorda Dr J (voorwoord)	Médecins et Psychologues.4	1024.pdf	2021-07-06			M06-34-001.pdf	2021-07-06
Roorda, Dr. J.																														2. Verslag van de Commissie inzake Oorlogsprophylaxis 1934-1935.	Dutch		1031	Verslag van de Commissie inzake Oorlogsprophylaxis 1934-193 Roorda Dr J	Médecins et Psychologues.1	1032.pdf	2021-07-06	15 juni 1935		M06-34-009.pdf	2021-07-06
Heringa, S.																														"7. Brochure over een conferentie van de artsengroep en oud ledenorganisatie van """"Den Vrijzinnig Christlijken Studentenbond"""" te Utrecht op 27 en 28 september 1930."""""	Dutch		1039	Brochure over een conferentie van de artsengroep en oud ledenorganisatie van Den Vrijzinnig Christlijken Studentenbond te Utrecht op 27 en 28 september 1930 Heringa S	Médecins et Psychologues.2	1040.pdf	2021-07-06	27,28 september 1930		M06-34-017.pdf	2021-07-06
F.W.D.																												Peace Movement;		"6. Pamflet: ""De Wapens Neder!"" No 845 8-Sep-11"	Dutch		1047	Pamflet De Wapens Neder F W D	Militairisme.1	1048.pdf	2021-07-13	1911		M08-34-005.pdf	2021-07-06
Schulman, J																														"6. Muntencatalogus """"La Guerre Européenne 1914-1918""""."	French		1055	Muntencatalogus La Guerre Européenne 1914-1918 Schulman J	Musées, Collections, Tableaux.2	1056.pdf	2021-07-06	Januari 1919		M14-34-003.pdf	2021-07-06
Russell Smith, J																														" 17. Brochure: """"Geography and the Higher Citizenship""""."	English		1063	1 Brochure Geography and the Higher Citizenship Russell Smith J	National Council for Prevention of War.3	1064.pdf	2021-07-06	Philadelphia, 1925		N06-35-006.pdf	2021-07-06
Brewer Boeckel, Florence																														" 4. Brochure: """"Stabilization of Currencies""""."	English		1071	Brochure Stabilization of Currencies Brewer Boeckel Florence	National Council for Prevention of War.1	1072.pdf	2021-07-06	Dec-36		N06-35-014.pdf	2021-07-06
Jongeren Vredes Federatie, Amsterdam																														3. Rondschrijven aan de leden. Afd.Amsterdam, 27 october 1931.	Dutch		1079	Rondschrijven aan de leden Afd Amsterdam 27 october 193 Jongeren Vredes Federatie Amsterdam	Jongeren Vredes Federatie.8	1080.pdf	2021-07-06	27 oktober 1931		J28-4-30-003.pdf	2021-07-06
Topping, Helen F																														"13. Krantenartikel over Kagawa uit: """"De Verbruiker"""", 29 oktober 1937."	Dutch		1087	Krantenartikel over Kagawa uit De Verbruiker 29 oktober 193 Topping Helen F	Kagawa.3	1088.pdf	2021-07-06	29 oktober 1937		K04-31-013.pdf	2021-07-06
Hugenholtz, Ds. J.B.Th.																														"1. Stichtings-Akte van de Stichting """"Kerk en Vrede""""."	Dutch		1095	Stichtings-Akte van de Stichting Kerk en Vrede Hugenholtz Ds J B Th	Kerk en Vrede.	1096.pdf	2021-07-06	4 oktober 1932		K08-31-001.pdf	2021-07-06
Hugenholtz, Ds. J.B.Th.																														"17. Brief van Ds. J.B.Th. Hugenholtz aan: """"An die gruene Nixe Sofi"""", d.d. 20-XII-(1933?)."""""	German		1103	Brief van Ds J B Th Hugenholtz aan An die gruene Nixe Sofi d d 20-XII-(1933 ) Hugenholtz Ds J B Th	Lehmann-Rüssbuldt.4 (Otto)	1104.pdf	2021-07-06	20 december 1933(?)		L08-32-016.pdf	2021-07-06
