creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Union Internationale des Associations par la Société des Nations.																														"4. Brochure: """"XII-ième Congrès de l' Union Internationale des Association par la Société des Nations, La Haye 30 juin-7 juillet 1928""""."	French		135	Brochure XII-ième Congrès de l Union Internationale des Association par la Société des Nations La Haye 30 juin-7 juillet 1928 Union Internationale des Associations par la Société des Nations	Union Internationale des Associations par la Société des Nations.1	136.pdf	2021-05-27	1928		U12-51-001.pdf	2021-05-27
l'Agence Rémoise de Publicité, Reims																														" 2. Brochure: """"Pax. Première Journée de la Paix. Reims. 22 juillet 1928"""""	French		143	Brochure Pax Première Journée de la Paix Reims 22 juillet 1928 l Agence Rémoise de Publicité Reims	"Union Universelle.1 """"Pour supprimer ce crime : la guerre""""."	144.pdf	2021-05-27	22 juli 1928		U20-51-001.pdf	2021-05-27
Viruly, A.																														" 4. Pamflet: """"Antwoord van A. Viruly op de sympathiebetuigingen, ontvangen naar aanleiding van zijn ontslagaanvrage als reserve-officiervlieger"""".(2x)"""""	Dutch		151	Pamflet Antwoord van A Viruly op de sympathiebetuigingen ontvangen naar aanleiding van zijn ontslagaanvrage als reserve-officiervlieger (2x) Viruly A	Viruly, A.	152.pdf	2021-05-27	Schiphol, Pinksteren 1936		V14-52-003.pdf	2021-05-27
Kolthek, H.																														"1. S.P. Vlugschriftje No.2. """"De Geestelijke Burgerwacht""""."	Dutch		159	S P Vlugschriftje No De Geestelijke Burgerwacht Kolthek H	Socialisme.1	160.pdf	2021-06-02			S22-48-003.pdf	2021-06-02
Ceresole, Prof. Ir. Pierre																														"4. Brochure: """"Internationaler Zivildienst 1932"""" Uitgave: """"Sekretariat des Internationalen Zivildienstes, La Chaux-de-Fonds, (Schweiz)""""."	German		167	Brochure Internationaler Zivildienst 1932 Uitgave Sekretariat des Internationalen Zivildienstes La Chaux-de-Fonds (Schweiz) Ceresole Prof Ir Pierre	Service Civil International.2	168.pdf	2021-06-02	1932		S18-47-010.pdf	2021-06-02
Busken Huet, Cd		Hooft, Pieter Cornz.		Valckenaer, Mr. Johan		Vosmaer, Mr. C.		Berg, Mr. N.P. van den		Bruijn, M. D. de																				"1. Boekje: """"Litterarische Fantasien door Cd. Busken Huet. Vierde Reeks. Vijfde deel. Pieter Cornz. Hooft, Mr. Johan Valckenaer, Mr. C.Vosmaer, Mr. N.P. van den Berg, M. D. de Bruijn, over Militairen Dienstplicht""""."	Dutch		175	Boekje Litterarische Fantasien door Cd Busken Huet Vierde Reeks Vijfde deel Pieter Cornz Hooft Mr Johan Valckenaer Mr C Vosmaer Mr N P van den Berg M D de Bruijn over Militairen Dienstplicht Busken Huet Cd Hooft Pieter Cornz Valckenaer Mr Johan Vosmaer Mr C Berg Mr N P van den Bruijn M D de	Service Militaire Obligatoire.1	176.pdf	2021-06-02	Haarlem, 1883		S20-48-006.pdf	2021-06-02
Fimmen, Edo	http://viaf.org/viaf/72274375																													"3. Rede: """"Oorlog Aan Den Oorlog. De taak der georganiseerde arbeiders in den strijd voor den wereldvrede"""". (Uitgesproken op het Internatio- naal Congres voor den Wereldvrede, 's-Gravenhage, 10-15 december 1922.)"""""	Dutch		183	Rede Oorlog Aan Den Oorlog De taak der georganiseerde arbeiders in den strijd voor den wereldvrede (Uitgesproken op het Internatio- naal Congres voor den Wereldvrede s-Gravenhage 10-15 december 192) Fimmen Edo	Socialisme.1	184.pdf	2021-06-02	's-Gravenhage, 10-15 December 1922		S22-48-006.pdf	2021-06-02
Jong, A.R. de																														"1. Brochure: """"Weg Met Het Militairisme! (Waarom wij als Christen-Socialist het Manifest der Dienstweigeraars onderteekenden)"""". Overdruk uit """"Opwaarts""""."	Dutch		191	Brochure Weg Met Het Militairisme (Waarom wij als Christen-Socialist het Manifest der Dienstweigeraars onderteekenden) Overdruk uit Opwaarts Jong A R de	Socialisme Chrétien.	192.pdf	2021-06-02			S23-48-001.pdf	2021-06-02
Hymans, Paul (introduction)																														"30. Brochure: """"La Première Assemblée de la Société des Nations""""."	French		199	30 Brochure La Première Assemblée de la Société des Nations Hymans Paul (introduction)	Société des Nations.9 (Volkenbond)	200.pdf	2021-06-02	Lausanne/ Genève, 1921		S24-48-007.pdf	2021-06-02
League of Nations, Londen.																														"22. Brochure: """"The League and the Crisis""""."	English		207	Brochure The League and the Crisis League of Nations Londen	Société des Nations.7 (Volkenbond)	208.pdf	2021-06-02	Sep-36		S24-48-015.pdf	2021-06-02
